weathersit,cnt,chart_type,hr,weekday,day_type
,955.0,Hari dan Jam Penyewaan Tertinggi,4.0,0.0,
,567.0,Hari dan Jam Penyewaan Tertinggi,4.0,1.0,
,508.0,Hari dan Jam Penyewaan Tertinggi,4.0,2.0,
,477.0,Hari dan Jam Penyewaan Tertinggi,4.0,3.0,
,528.0,Hari dan Jam Penyewaan Tertinggi,4.0,4.0,
,589.0,Hari dan Jam Penyewaan Tertinggi,4.0,5.0,
,804.0,Hari dan Jam Penyewaan Tertinggi,4.0,6.0,
,852.0,Hari dan Jam Penyewaan Tertinggi,5.0,0.0,
,2252.0,Hari dan Jam Penyewaan Tertinggi,5.0,1.0,
,2470.0,Hari dan Jam Penyewaan Tertinggi,5.0,2.0,
,2678.0,Hari dan Jam Penyewaan Tertinggi,5.0,3.0,
,2669.0,Hari dan Jam Penyewaan Tertinggi,5.0,4.0,
,2486.0,Hari dan Jam Penyewaan Tertinggi,5.0,5.0,
,854.0,Hari dan Jam Penyewaan Tertinggi,5.0,6.0,
,1493.0,Hari dan Jam Penyewaan Tertinggi,6.0,0.0,
,8930.0,Hari dan Jam Penyewaan Tertinggi,6.0,1.0,
,10863.0,Hari dan Jam Penyewaan Tertinggi,6.0,2.0,
,11212.0,Hari dan Jam Penyewaan Tertinggi,6.0,3.0,
,11066.0,Hari dan Jam Penyewaan Tertinggi,6.0,4.0,
,9363.0,Hari dan Jam Penyewaan Tertinggi,6.0,5.0,
,2205.0,Hari dan Jam Penyewaan Tertinggi,6.0,6.0,
,3476.0,Hari dan Jam Penyewaan Tertinggi,7.0,0.0,
,25848.0,Hari dan Jam Penyewaan Tertinggi,7.0,1.0,
,30569.0,Hari dan Jam Penyewaan Tertinggi,7.0,2.0,
,31614.0,Hari dan Jam Penyewaan Tertinggi,7.0,3.0,
,31388.0,Hari dan Jam Penyewaan Tertinggi,7.0,4.0,
,26450.0,Hari dan Jam Penyewaan Tertinggi,7.0,5.0,
,4826.0,Hari dan Jam Penyewaan Tertinggi,7.0,6.0,
,8805.0,Hari dan Jam Penyewaan Tertinggi,8.0,0.0,
,42868.0,Hari dan Jam Penyewaan Tertinggi,8.0,1.0,
,48122.0,Hari dan Jam Penyewaan Tertinggi,8.0,2.0,
,50786.0,Hari dan Jam Penyewaan Tertinggi,8.0,3.0,
,50323.0,Hari dan Jam Penyewaan Tertinggi,8.0,4.0,
,48077.0,Hari dan Jam Penyewaan Tertinggi,8.0,5.0,
,12020.0,Hari dan Jam Penyewaan Tertinggi,8.0,6.0,
,16437.0,Hari dan Jam Penyewaan Tertinggi,9.0,0.0,
,22718.0,Hari dan Jam Penyewaan Tertinggi,9.0,1.0,
,24118.0,Hari dan Jam Penyewaan Tertinggi,9.0,2.0,
,24807.0,Hari dan Jam Penyewaan Tertinggi,9.0,3.0,
,24810.0,Hari dan Jam Penyewaan Tertinggi,9.0,4.0,
,26935.0,Hari dan Jam Penyewaan Tertinggi,9.0,5.0,
,19613.0,Hari dan Jam Penyewaan Tertinggi,9.0,6.0,
,27151.0,Hari dan Jam Penyewaan Tertinggi,10.0,0.0,
,14459.0,Hari dan Jam Penyewaan Tertinggi,10.0,1.0,
,13181.0,Hari dan Jam Penyewaan Tertinggi,10.0,2.0,
,13717.0,Hari dan Jam Penyewaan Tertinggi,10.0,3.0,
,13654.0,Hari dan Jam Penyewaan Tertinggi,10.0,4.0,
,16404.0,Hari dan Jam Penyewaan Tertinggi,10.0,5.0,
,27691.0,Hari dan Jam Penyewaan Tertinggi,10.0,6.0,
,33115.0,Hari dan Jam Penyewaan Tertinggi,11.0,0.0,
,17024.0,Hari dan Jam Penyewaan Tertinggi,11.0,1.0,
,14924.0,Hari dan Jam Penyewaan Tertinggi,11.0,2.0,
,15829.0,Hari dan Jam Penyewaan Tertinggi,11.0,3.0,
,16360.0,Hari dan Jam Penyewaan Tertinggi,11.0,4.0,
,19564.0,Hari dan Jam Penyewaan Tertinggi,11.0,5.0,
,34504.0,Hari dan Jam Penyewaan Tertinggi,11.0,6.0,
,39161.0,Hari dan Jam Penyewaan Tertinggi,12.0,0.0,
,21581.0,Hari dan Jam Penyewaan Tertinggi,12.0,1.0,
,18826.0,Hari dan Jam Penyewaan Tertinggi,12.0,2.0,
,20166.0,Hari dan Jam Penyewaan Tertinggi,12.0,3.0,
,20550.0,Hari dan Jam Penyewaan Tertinggi,12.0,4.0,
,24715.0,Hari dan Jam Penyewaan Tertinggi,12.0,5.0,
,39415.0,Hari dan Jam Penyewaan Tertinggi,12.0,6.0,
,39368.0,Hari dan Jam Penyewaan Tertinggi,13.0,0.0,
,21384.0,Hari dan Jam Penyewaan Tertinggi,13.0,1.0,
,19031.0,Hari dan Jam Penyewaan Tertinggi,13.0,2.0,
,19326.0,Hari dan Jam Penyewaan Tertinggi,13.0,3.0,
,20233.0,Hari dan Jam Penyewaan Tertinggi,13.0,4.0,
,25113.0,Hari dan Jam Penyewaan Tertinggi,13.0,5.0,
,40464.0,Hari dan Jam Penyewaan Tertinggi,13.0,6.0,
,38181.0,Hari dan Jam Penyewaan Tertinggi,14.0,0.0,
,20041.0,Hari dan Jam Penyewaan Tertinggi,14.0,1.0,
,17510.0,Hari dan Jam Penyewaan Tertinggi,14.0,2.0,
,17737.0,Hari dan Jam Penyewaan Tertinggi,14.0,3.0,
,18289.0,Hari dan Jam Penyewaan Tertinggi,14.0,4.0,
,23854.0,Hari dan Jam Penyewaan Tertinggi,14.0,5.0,
,40040.0,Hari dan Jam Penyewaan Tertinggi,14.0,6.0,
,37163.0,Hari dan Jam Penyewaan Tertinggi,15.0,0.0,
,21046.0,Hari dan Jam Penyewaan Tertinggi,15.0,1.0,
,19438.0,Hari dan Jam Penyewaan Tertinggi,15.0,2.0,
,18854.0,Hari dan Jam Penyewaan Tertinggi,15.0,3.0,
,20237.0,Hari dan Jam Penyewaan Tertinggi,15.0,4.0,
,26256.0,Hari dan Jam Penyewaan Tertinggi,15.0,5.0,
,40155.0,Hari dan Jam Penyewaan Tertinggi,15.0,6.0,
,37317.0,Hari dan Jam Penyewaan Tertinggi,16.0,0.0,
,29583.0,Hari dan Jam Penyewaan Tertinggi,16.0,1.0,
,29817.0,Hari dan Jam Penyewaan Tertinggi,16.0,2.0,
,28388.0,Hari dan Jam Penyewaan Tertinggi,16.0,3.0,
,29775.0,Hari dan Jam Penyewaan Tertinggi,16.0,4.0,
,34423.0,Hari dan Jam Penyewaan Tertinggi,16.0,5.0,
,38445.0,Hari dan Jam Penyewaan Tertinggi,16.0,6.0,
,33471.0,Hari dan Jam Penyewaan Tertinggi,17.0,0.0,
,52249.0,Hari dan Jam Penyewaan Tertinggi,17.0,1.0,
,56605.0,Hari dan Jam Penyewaan Tertinggi,17.0,2.0,
,53367.0,Hari dan Jam Penyewaan Tertinggi,17.0,3.0,
,54844.0,Hari dan Jam Penyewaan Tertinggi,17.0,4.0,
,51211.0,Hari dan Jam Penyewaan Tertinggi,17.0,5.0,
,35113.0,Hari dan Jam Penyewaan Tertinggi,17.0,6.0,
,28626.0,Hari dan Jam Penyewaan Tertinggi,18.0,0.0,
,50060.0,Hari dan Jam Penyewaan Tertinggi,18.0,1.0,
,53827.0,Hari dan Jam Penyewaan Tertinggi,18.0,2.0,
,50885.0,Hari dan Jam Penyewaan Tertinggi,18.0,3.0,
,52218.0,Hari dan Jam Penyewaan Tertinggi,18.0,4.0,
,43783.0,Hari dan Jam Penyewaan Tertinggi,18.0,5.0,
,30373.0,Hari dan Jam Penyewaan Tertinggi,18.0,6.0,
,23675.0,Hari dan Jam Penyewaan Tertinggi,19.0,0.0,
,35836.0,Hari dan Jam Penyewaan Tertinggi,19.0,1.0,
,36808.0,Hari dan Jam Penyewaan Tertinggi,19.0,2.0,
,36823.0,Hari dan Jam Penyewaan Tertinggi,19.0,3.0,
,37279.0,Hari dan Jam Penyewaan Tertinggi,19.0,4.0,
,31415.0,Hari dan Jam Penyewaan Tertinggi,19.0,5.0,
,24953.0,Hari dan Jam Penyewaan Tertinggi,19.0,6.0,
,17643.0,Hari dan Jam Penyewaan Tertinggi,20.0,0.0,
,25176.0,Hari dan Jam Penyewaan Tertinggi,20.0,1.0,
,26332.0,Hari dan Jam Penyewaan Tertinggi,20.0,2.0,
,26436.0,Hari dan Jam Penyewaan Tertinggi,20.0,3.0,
,27967.0,Hari dan Jam Penyewaan Tertinggi,20.0,4.0,
,22186.0,Hari dan Jam Penyewaan Tertinggi,20.0,5.0,
,18810.0,Hari dan Jam Penyewaan Tertinggi,20.0,6.0,
,13403.0,Hari dan Jam Penyewaan Tertinggi,21.0,0.0,
,18152.0,Hari dan Jam Penyewaan Tertinggi,21.0,1.0,
,19368.0,Hari dan Jam Penyewaan Tertinggi,21.0,2.0,
,20051.0,Hari dan Jam Penyewaan Tertinggi,21.0,3.0,
,20580.0,Hari dan Jam Penyewaan Tertinggi,21.0,4.0,
,17667.0,Hari dan Jam Penyewaan Tertinggi,21.0,5.0,
,16224.0,Hari dan Jam Penyewaan Tertinggi,21.0,6.0,
,9883.0,Hari dan Jam Penyewaan Tertinggi,22.0,0.0,
,12039.0,Hari dan Jam Penyewaan Tertinggi,22.0,1.0,
,13757.0,Hari dan Jam Penyewaan Tertinggi,22.0,2.0,
,14800.0,Hari dan Jam Penyewaan Tertinggi,22.0,3.0,
,15313.0,Hari dan Jam Penyewaan Tertinggi,22.0,4.0,
,15295.0,Hari dan Jam Penyewaan Tertinggi,22.0,5.0,
,14525.0,Hari dan Jam Penyewaan Tertinggi,22.0,6.0,
,6499.0,Hari dan Jam Penyewaan Tertinggi,23.0,0.0,
,6802.0,Hari dan Jam Penyewaan Tertinggi,23.0,1.0,
,7922.0,Hari dan Jam Penyewaan Tertinggi,23.0,2.0,
,8625.0,Hari dan Jam Penyewaan Tertinggi,23.0,3.0,
,10062.0,Hari dan Jam Penyewaan Tertinggi,23.0,4.0,
,11982.0,Hari dan Jam Penyewaan Tertinggi,23.0,5.0,
,12049.0,Hari dan Jam Penyewaan Tertinggi,23.0,6.0,
,57.476190476190474,Holiday vs Working Day,0.0,,Holiday
,53.791489361702126,Holiday vs Working Day,0.0,,Working Day
,38.904761904761905,Holiday vs Working Day,1.0,,Holiday
,33.21052631578947,Holiday vs Working Day,1.0,,Working Day
,25.476190476190474,Holiday vs Working Day,2.0,,Holiday
,22.79106628242075,Holiday vs Working Day,2.0,,Working Day
,11.61111111111111,Holiday vs Working Day,3.0,,Holiday
,11.730486008836523,Holiday vs Working Day,3.0,,Working Day
,5.85,Holiday vs Working Day,4.0,,Holiday
,6.3677991137370755,Holiday vs Working Day,4.0,,Working Day
,10.619047619047619,Holiday vs Working Day,5.0,,Holiday
,20.169540229885058,Holiday vs Working Day,5.0,,Working Day
,28.285714285714285,Holiday vs Working Day,6.0,,Holiday
,77.46875,Holiday vs Working Day,6.0,,Working Day
,82.14285714285714,Holiday vs Working Day,7.0,,Holiday
,215.92917847025495,Holiday vs Working Day,7.0,,Working Day
,170.52380952380952,Holiday vs Working Day,8.0,,Holiday
,364.61756373937675,Holiday vs Working Day,8.0,,Working Day
,171.1904761904762,Holiday vs Working Day,9.0,,Holiday
,220.74079320113316,Holiday vs Working Day,9.0,,Working Day
,203.47619047619048,Holiday vs Working Day,10.0,,Holiday
,172.78186968838526,Holiday vs Working Day,10.0,,Working Day
,248.52380952380952,Holiday vs Working Day,11.0,,Holiday
,206.94192634560906,Holiday vs Working Day,11.0,,Working Day
,287.14285714285717,Holiday vs Working Day,12.0,,Holiday
,252.3111739745403,Holiday vs Working Day,12.0,,Working Day
,298.5238095238095,Holiday vs Working Day,13.0,,Holiday
,252.33050847457628,Holiday vs Working Day,13.0,,Working Day
,286.2857142857143,Holiday vs Working Day,14.0,,Holiday
,239.6045197740113,Holiday vs Working Day,14.0,,Working Day
,265.14285714285717,Holiday vs Working Day,15.0,,Holiday
,250.82062146892656,Holiday vs Working Day,15.0,,Working Day
,272.2857142857143,Holiday vs Working Day,16.0,,Holiday
,313.15937940761637,Holiday vs Working Day,16.0,,Working Day
,293.14285714285717,Holiday vs Working Day,17.0,,Holiday
,466.43723554301835,Holiday vs Working Day,17.0,,Working Day
,268.76190476190476,Holiday vs Working Day,18.0,,Holiday
,430.1669024045262,Holiday vs Working Day,18.0,,Working Day
,221.76190476190476,Holiday vs Working Day,19.0,,Holiday
,314.1895332390382,Holiday vs Working Day,19.0,,Working Day
,177.95238095238096,Holiday vs Working Day,20.0,,Holiday
,227.45827439886847,Holiday vs Working Day,20.0,,Working Day
,145.0952380952381,Holiday vs Working Day,21.0,,Holiday
,173.1230551626591,Holiday vs Working Day,21.0,,Working Day
,108.85714285714286,Holiday vs Working Day,22.0,,Holiday
,132.002828854314,Holiday vs Working Day,22.0,,Working Day
,57.904761904761905,Holiday vs Working Day,23.0,,Holiday
,88.71994342291372,Holiday vs Working Day,23.0,,Working Day
